Customer ID,Recency,Frequency,Monetary,score,segment id,segment_name
12346,432.0,34.0,368.36,122,9,hibernating
12347,3.0,222.0,4921.53,555,0,champions
12348,76.0,51.0,2019.4,334,5,need_attention
12349,19.0,179.0,4419.49,545,0,champions
12350,311.0,17.0,334.4,212,9,hibernating
12351,376.0,21.0,300.93,222,9,hibernating
12352,37.0,107.0,1889.21,444,1,loyal
12353,205.0,24.0,406.76,222,9,hibernating
12354,233.0,58.0,1079.4,233,9,hibernating
12355,215.0,35.0,947.61,223,9,hibernating
12356,23.0,143.0,6373.68,445,0,champions
12357,34.0,296.0,18287.66,455,0,champions
12358,2.0,77.0,3887.07,535,5,need_attention
12359,8.0,369.0,8714.89,555,0,champions
12360,53.0,218.0,4212.89,455,0,champions
12361,288.0,29.0,511.25,222,9,hibernating
12362,4.0,269.0,5284.58,555,0,champions
12363,110.0,23.0,552.0,322,9,hibernating
12364,8.0,85.0,1313.1,544,0,champions
12365,292.0,21.0,320.69,222,9,hibernating
12366,634.0,3.0,500.24,112,10,lost
12367,5.0,11.0,168.9,511,3,new_customers
12368,629.0,18.0,917.7,123,9,hibernating
12369,414.0,93.0,1791.15,144,7,cannot_lose_them_but_losing
12370,52.0,202.0,4320.31,455,0,champions
12371,45.0,167.0,4067.38,445,0,champions
12372,72.0,52.0,1298.04,334,5,need_attention
12373,312.0,51.0,1127.65,233,9,hibernating
12374,26.0,83.0,2989.22,445,0,champions
12375,3.0,18.0,455.42,522,4,promising
12376,390.0,13.0,503.15,212,9,hibernating
12377,316.0,152.0,3426.32,245,8,at_risk
12378,130.0,301.0,5416.32,355,1,loyal
12379,82.0,82.0,1618.27,344,1,loyal
12380,22.0,281.0,7888.0,455,0,champions
12381,5.0,89.0,1803.96,544,0,champions
12383,185.0,100.0,1839.31,344,1,loyal
12384,29.0,30.0,566.16,422,3,new_customers
12385,380.0,66.0,1923.4,234,8,at_risk
12386,338.0,10.0,401.9,212,9,hibernating
12387,416.0,9.0,143.94,111,10,lost
12388,16.0,146.0,3901.11,545,0,champions
