Customer ID,Recency,Frequency,Monetary,Recency_clustered,Frequency_clustered,Monetary_clustered,score
12346,432.0,34.0,368.36,2,1,1,211
12347,3.0,222.0,4921.53,5,2,1,521
12348,76.0,51.0,2019.4,5,1,1,511
12349,19.0,179.0,4419.49,5,1,1,511
12350,311.0,17.0,334.4,3,1,1,311
12351,376.0,21.0,300.93,2,1,1,211
12352,37.0,107.0,1889.21,5,1,1,511
12353,205.0,24.0,406.76,3,1,1,311
12354,233.0,58.0,1079.4,3,1,1,311
12355,215.0,35.0,947.61,3,1,1,311
12356,23.0,143.0,6373.68,5,1,1,511
12357,34.0,296.0,18287.66,5,2,2,522
12358,2.0,77.0,3887.07,5,1,1,511
12359,8.0,369.0,8714.89,5,2,2,522
12360,53.0,218.0,4212.89,5,2,1,521
12361,288.0,29.0,511.25,3,1,1,311
12362,4.0,269.0,5284.58,5,2,1,521
12363,110.0,23.0,552.0,4,1,1,411
12364,8.0,85.0,1313.1,5,1,1,511
12365,292.0,21.0,320.69,3,1,1,311
12366,634.0,3.0,500.24,1,1,1,111
12367,5.0,11.0,168.9,5,1,1,511
12368,629.0,18.0,917.7,1,1,1,111
12369,414.0,93.0,1791.15,2,1,1,211
12370,52.0,202.0,4320.31,5,1,1,511
12371,45.0,167.0,4067.38,5,1,1,511
12372,72.0,52.0,1298.04,5,1,1,511
12373,312.0,51.0,1127.65,3,1,1,311
12374,26.0,83.0,2989.22,5,1,1,511
12375,3.0,18.0,455.42,5,1,1,511
12376,390.0,13.0,503.15,2,1,1,211
12377,316.0,152.0,3426.32,3,1,1,311
12378,130.0,301.0,5416.32,4,2,1,421
12379,82.0,82.0,1618.27,4,1,1,411
12380,22.0,281.0,7888.0,5,2,1,521
12381,5.0,89.0,1803.96,5,1,1,511
12383,185.0,100.0,1839.31,4,1,1,411
12384,29.0,30.0,566.16,5,1,1,511
12385,380.0,66.0,1923.4,2,1,1,211
12386,338.0,10.0,401.9,3,1,1,311
12387,416.0,9.0,143.94,2,1,1,211
12388,16.0,146.0,3901.11,5,1,1,511
12389,403.0,49.0,1433.33,2,1,1,211
12390,80.0,32.0,549.84,4,1,1,411
12391,22.0,287.0,2747.82,5,2,1,521
12392,592.0,7.0,234.75,1,1,1,111
12393,73.0,112.0,2376.75,5,1,1,511
12394,64.0,27.0,1272.48,5,1,1,511
12395,16.0,245.0,4700.82,5,2,1,521
12396,675.0,65.0,931.43,1,1,1,111
12397,36.0,126.0,2409.9,5,1,1,511
12398,46.0,85.0,1635.66,5,1,1,511
12399,120.0,110.0,1962.3,4,1,1,411
12400,415.0,11.0,205.25,2,1,1,211
12401,304.0,5.0,84.3,3,1,1,311
12402,324.0,69.0,1244.15,3,1,1,311
12403,50.0,10.0,1001.36,5,1,1,511
12404,683.0,1.0,63.24,1,1,1,111
