Customer ID,Recency,Frequency,Monetary
12346,432.0,34.0,368.36
12347,3.0,222.0,4921.53
12348,76.0,51.0,2019.4
12349,19.0,179.0,4419.49
12350,311.0,17.0,334.4
12351,376.0,21.0,300.93
12352,37.0,107.0,1889.21
12353,205.0,24.0,406.76
12354,233.0,58.0,1079.4
12355,215.0,35.0,947.61
12356,23.0,143.0,6373.68
12357,34.0,296.0,18287.66
12358,2.0,77.0,3887.07
12359,8.0,369.0,8714.89
12360,53.0,218.0,4212.89
12361,288.0,29.0,511.25
12362,4.0,269.0,5284.58
12363,110.0,23.0,552.0
12364,8.0,85.0,1313.1
12365,292.0,21.0,320.69
12366,634.0,3.0,500.24
12367,5.0,11.0,168.9
12368,629.0,18.0,917.7
12369,414.0,93.0,1791.15
12370,52.0,202.0,4320.31
12371,45.0,167.0,4067.38
12372,72.0,52.0,1298.04
12373,312.0,51.0,1127.65
12374,26.0,83.0,2989.22
12375,3.0,18.0,455.42
12376,390.0,13.0,503.15
12377,316.0,152.0,3426.32
12378,130.0,301.0,5416.32
12379,82.0,82.0,1618.27
12380,22.0,281.0,7888.0
12381,5.0,89.0,1803.96
12383,185.0,100.0,1839.31
12384,29.0,30.0,566.16
12385,380.0,66.0,1923.4
12386,338.0,10.0,401.9
12387,416.0,9.0,143.94
12388,16.0,146.0,3901.11
12389,403.0,49.0,1433.33
12390,80.0,32.0,549.84
12391,22.0,287.0,2747.82
12392,592.0,7.0,234.75
12393,73.0,112.0,2376.75
12394,64.0,27.0,1272.48
12395,16.0,245.0,4700.82
12396,675.0,65.0,931.43
12397,36.0,126.0,2409.9
12398,46.0,85.0,1635.66
12399,120.0,110.0,1962.3
12400,415.0,11.0,205.25
12401,304.0,5.0,84.3
12402,324.0,69.0,1244.15
12403,50.0,10.0,1001.36
12404,683.0,1.0,63.24
12405,149.0,54.0,1710.39
12406,23.0,164.0,6072.21
12407,50.0,77.0,1708.12
12408,33.0,170.0,4279.64
12409,79.0,272.0,23090.47
12410,302.0,42.0,1001.46
12411,410.0,22.0,346.9
12412,75.0,131.0,2581.03
12413,67.0,53.0,935.5
12414,218.0,29.0,692.41
12415,25.0,986.0,143182.02
12416,657.0,11.0,202.56
12417,4.0,379.0,6708.21
12418,113.0,103.0,2016.95
12419,386.0,25.0,503.01
12420,64.0,29.0,600.39
12421,16.0,66.0,1093.6
12422,96.0,172.0,4119.35
12423,1.0,164.0,2612.19
12424,163.0,93.0,3316.53
12425,79.0,87.0,1680.81
12426,195.0,80.0,1311.41
12427,22.0,33.0,708.37
12428,26.0,300.0,7877.2
12429,10.0,152.0,6154.01
12430,44.0,11.0,256.4
12431,36.0,393.0,10361.16
12432,43.0,108.0,5059.32
12433,1.0,559.0,16794.14
12434,85.0,70.0,1062.48
12435,80.0,112.0,13925.93
12436,100.0,16.0,509.01
12437,2.0,576.0,12424.55
12438,15.0,98.0,2906.85
12439,683.0,71.0,1104.48
12440,458.0,35.0,768.15
12441,367.0,11.0,173.55
12442,4.0,12.0,172.06
12443,733.0,21.0,485.31
12444,22.0,177.0,5005.46
12445,23.0,25.0,426.48
